Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
17,tt0087332,2021-11-25,2021-11-25,,"Ghostbusters","Ghostbusters",https://www.imdb.com/title/tt0087332/,Movie,7.8,105,1984,"Action, Comedy, Fantasy, Sci-Fi",483104,1984-06-08,"Ivan Reitman",,
18,tt7740496,2021-11-25,2021-11-25,,"Nightmare Alley","Nightmare Alley",https://www.imdb.com/title/tt7740496/,Movie,7.0,150,2021,"Crime, Drama, Thriller",180989,2021-12-17,"Guillermo del Toro",,
19,tt0068646,2021-11-25,2021-11-25,,"The Godfather","The Godfather",https://www.imdb.com/title/tt0068646/,Movie,9.2,175,1972,"Crime, Drama",2199439,1972-03-24,"Francis Ford Coppola",5,2020-08-27
20,tt9620292,2021-11-25,2021-11-25,,"Promising Young Woman","Promising Young Woman",https://www.imdb.com/title/tt9620292/,Movie,7.5,113,2020,"Crime, Drama, Mystery, Thriller",251273,2020-12-25,"Emerald Fennell",,
21,tt10986222,2021-12-10,2021-12-10,,"C'mon C'mon","C'mon C'mon",https://www.imdb.com/title/tt10986222/,Movie,7.3,109,2021,"Drama",42398,2021-11-24,"Mike Mills",,
22,tt0887883,2021-12-10,2021-12-10,,"Burn After Reading","Burn After Reading",https://www.imdb.com/title/tt0887883/,Movie,7.0,96,2008,"Comedy, Crime, Drama, Thriller",373218,2008-09-12,"Ethan Coen, Joel Coen",,
23,tt1560747,2021-12-10,2021-12-10,,"The Master","The Master",https://www.imdb.com/title/tt1560747/,Movie,7.1,138,2012,"Drama",199159,2012-09-21,"Paul Thomas Anderson",,
24,tt0093748,2021-12-10,2021-12-10,,"Planes, Trains & Automobiles","Planes, Trains & Automobiles",https://www.imdb.com/title/tt0093748/,Movie,7.6,93,1987,"Comedy, Drama",179208,1987-11-25,"John Hughes",,
25,tt0110527,2021-12-16,2021-12-16,,"Miracle on 34th Street","Miracle on 34th Street",https://www.imdb.com/title/tt0110527/,Movie,6.7,114,1994,"Drama, Family, Fantasy",50662,1994-11-18,"Les Mayfield",,
26,tt1126590,2022-02-10,2022-02-10,,"Big Eyes","Big Eyes",https://www.imdb.com/title/tt1126590/,Movie,6.9,106,2014,"Biography, Crime, Drama, Romance",104148,2014-12-25,"Tim Burton",,
27,tt10095582,2022-02-16,2022-02-16,,"The Tragedy of Macbeth","The Tragedy of Macbeth",https://www.imdb.com/title/tt10095582/,Movie,7.1,105,2021,"Drama, Fantasy, Mystery, Thriller",43725,2022-01-14,"Joel Coen",,
28,tt0128445,2022-03-19,2022-03-19,,"Rushmore","Rushmore",https://www.imdb.com/title/tt0128445/,Movie,7.6,93,1998,"Comedy, Drama, Romance",207115,1999-02-19,"Wes Anderson",,
29,tt7978758,2022-04-07,2022-04-07,,"Apollo 10½: A Space Age Childhood","Apollo 10 1/2: A Space Age Adventure",https://www.imdb.com/title/tt7978758/,Movie,7.2,97,2022,"Animation, Adventure, Drama, History",13269,2022-04-01,"Richard Linklater",,
30,tt6265828,2022-04-17,2022-04-17,,"A Ghost Story","A Ghost Story",https://www.imdb.com/title/tt6265828/,Movie,6.8,92,2017,"Drama, Fantasy, Mystery, Romance",85805,2017-07-28,"David Lowery",,
31,tt5688932,2022-04-17,2022-04-17,,"Sorry to Bother You","Sorry to Bother You",https://www.imdb.com/title/tt5688932/,Movie,6.9,112,2018,"Comedy, Drama, Fantasy, Sci-Fi",93457,2018-07-13,"Boots Riley",,
32,tt14039582,2022-06-19,2022-06-19,,"Drive My Car","Doraibu mai kâ",https://www.imdb.com/title/tt14039582/,Movie,7.5,179,2021,"Drama",75480,2021-08-20,"Ryûsuke Hamaguchi",,
33,tt14549466,2022-06-20,2022-06-20,,"Crimes of the Future","Crimes of the Future",https://www.imdb.com/title/tt14549466/,Movie,5.8,107,2022,"Drama, Horror, Sci-Fi, Thriller",46359,2022-05-25,"David Cronenberg",,
34,tt8783930,2022-06-20,2022-06-20,,"The Time Traveler's Wife","The Time Traveler's Wife",https://www.imdb.com/title/tt8783930/,TV Series,7.7,45,2022,"Drama, Romance, Sci-Fi",19863,2022-05-15,,,
35,tt3416742,2022-11-13,2022-11-13,,"What We Do in the Shadows","What We Do in the Shadows",https://www.imdb.com/title/tt3416742/,Movie,7.6,86,2014,"Comedy, Horror",212127,2015-02-13,"Jemaine Clement, Taika Waititi",,
36,tt1560139,2023-01-31,2023-01-31,,"Boy","Boy",https://www.imdb.com/title/tt1560139/,Movie,7.5,87,2010,"Comedy, Drama",31331,2010-03-25,"Taika Waititi",,
37,tt8772262,2023-01-31,2023-01-31,,"Midsommar","Midsommar",https://www.imdb.com/title/tt8772262/,Movie,7.1,148,2019,"Drama, Horror, Mystery, Thriller",475511,2019-07-03,"Ari Aster",,
38,tt15679400,2023-01-31,2023-01-31,,"Knock at the Cabin","Knock at the Cabin",https://www.imdb.com/title/tt15679400/,Movie,6.1,100,2023,"Horror, Mystery, Thriller",139959,2023-02-03,"M. Night Shyamalan",,
39,tt11358390,2023-08-09,2023-08-09,,"Renfield","Renfield",https://www.imdb.com/title/tt11358390/,Movie,6.4,93,2023,"Action, Comedy, Fantasy, Horror",118320,2023-04-14,"Chris McKay",,
40,tt14230388,2023-09-09,2023-09-09,,"Asteroid City","Asteroid City",https://www.imdb.com/title/tt14230388/,Movie,6.4,105,2023,"Comedy, Drama, Romance, Sci-Fi",142349,2023-06-23,"Wes Anderson",,
41,tt1109624,2023-09-25,2023-09-25,,"Paddington","Paddington",https://www.imdb.com/title/tt1109624/,Movie,7.3,95,2014,"Adventure, Comedy, Family, Fantasy",154440,2015-01-16,"Paul King",,
42,tt4468740,2023-09-25,2023-09-25,,"Paddington 2","Paddington 2",https://www.imdb.com/title/tt4468740/,Movie,7.8,103,2017,"Adventure, Comedy, Family",112216,2018-01-12,"Paul King",,
43,tt16968450,2023-10-22,2023-10-22,,"The Wonderful Story of Henry Sugar","The Wonderful Story of Henry Sugar",https://www.imdb.com/title/tt16968450/,Short,7.4,40,2023,"Short, Adventure, Comedy, Drama",86525,2023-09-27,"Wes Anderson",,
44,tt5537002,2023-11-07,2023-11-07,,"Killers of the Flower Moon","Killers of the Flower Moon",https://www.imdb.com/title/tt5537002/,Movie,7.5,206,2023,"Crime, Drama, History, Western",301197,2023-10-20,"Martin Scorsese",,
45,tt21942866,2024-01-03,2024-01-03,,"Dream Scenario","Dream Scenario",https://www.imdb.com/title/tt21942866/,Movie,6.8,102,2023,"Comedy, Drama, Fantasy, Horror",91910,2023-11-22,"Kristoffer Borgli",,
46,tt17009710,2024-01-03,2024-01-03,,"Anatomy of a Fall","Anatomie d'une chute",https://www.imdb.com/title/tt17009710/,Movie,7.6,151,2023,"Crime, Drama, Mystery, Thriller",204994,2024-03-22,"Justine Triet",,
47,tt1745960,2024-01-03,2024-01-03,,"Top Gun: Maverick","Top Gun: Maverick",https://www.imdb.com/title/tt1745960/,Movie,8.2,130,2022,"Action, Drama",841991,2022-05-27,"Joseph Kosinski",,
48,tt6217926,2024-01-04,2024-01-04,,"Annette","Annette",https://www.imdb.com/title/tt6217926/,Movie,6.3,141,2021,"Drama, Musical, Romance",24178,2021-08-20,"Leos Carax",,
49,tt21232992,2024-01-09,2024-01-09,,"Theater Camp","Theater Camp",https://www.imdb.com/title/tt21232992/,Movie,6.9,92,2023,"Comedy",19314,2023-09-14,"Molly Gordon, Nick Lieberman",,
50,tt0088247,2024-01-29,2024-01-29,,"The Terminator","The Terminator",https://www.imdb.com/title/tt0088247/,Movie,8.1,107,1984,"Action, Adventure, Sci-Fi",993723,1984-10-26,"James Cameron",,
51,tt1856101,2024-01-29,2024-01-29,,"Blade Runner 2049","Blade Runner 2049",https://www.imdb.com/title/tt1856101/,Movie,8.0,164,2017,"Action, Drama, Mystery, Sci-Fi, Thriller",743054,2017-10-06,"Denis Villeneuve",,
52,tt0118715,2024-02-09,2024-02-09,,"The Big Lebowski","The Big Lebowski",https://www.imdb.com/title/tt0118715/,Movie,8.1,117,1998,"Comedy, Crime",910454,1998-03-06,"Joel Coen, Ethan Coen",,
53,tt0129167,2024-02-09,2024-02-09,,"The Iron Giant","The Iron Giant",https://www.imdb.com/title/tt0129167/,Movie,8.1,86,1999,"Animation, Action, Adventure, Comedy, Drama, Family, Sci-Fi",256384,1999-08-06,"Brad Bird",,
54,tt0093779,2024-02-15,2024-02-15,,"The Princess Bride","The Princess Bride",https://www.imdb.com/title/tt0093779/,Movie,8.0,98,1987,"Adventure, Comedy, Family, Fantasy, Romance",481521,1987-10-09,"Rob Reiner",,
55,tt7160372,2024-02-15,2024-02-15,,"The Zone of Interest","The Zone of Interest",https://www.imdb.com/title/tt7160372/,Movie,7.3,105,2023,"Drama, History, War",162551,2024-02-20,"Jonathan Glazer",,
56,tt0851578,2024-05-23,2024-05-23,,"Paprika","Paprika",https://www.imdb.com/title/tt0851578/,Movie,7.7,90,2006,"Animation, Drama, Fantasy, Mystery, Sci-Fi, Thriller",110181,2007-06-22,"Satoshi Kon",,
57,tt10128846,2024-05-23,2024-05-23,,"Megalopolis","Francis Ford Coppola's Megalopolis: A Fable",https://www.imdb.com/title/tt10128846/,Movie,4.7,138,2024,"Drama, Fantasy, Sci-Fi",41029,2024-09-27,"Francis Ford Coppola",,
58,tt14966898,2024-05-23,2024-05-23,,"Late Night with the Devil","Late Night with the Devil",https://www.imdb.com/title/tt14966898/,Movie,7.0,93,2023,"Horror",143107,2024-03-22,"Cameron Cairnes, Colin Cairnes",,
59,tt9352178,2024-07-02,2024-07-02,,"The Primevals","The Primevals",https://www.imdb.com/title/tt9352178/,Movie,5.8,91,2023,"Adventure, Sci-Fi",1391,2024-03-11,"David Allen",,
60,tt0095489,2024-07-07,2024-07-07,,"The Land Before Time","The Land Before Time",https://www.imdb.com/title/tt0095489/,Movie,7.4,69,1988,"Animation, Adventure, Drama, Family",106189,1988-11-18,"Don Bluth",,
61,tt26584495,2025-01-09,2025-01-09,,"Companion","Companion",https://www.imdb.com/title/tt26584495/,Movie,6.9,97,2025,"Sci-Fi, Thriller",165359,2025-01-31,"Drew Hancock",,
62,tt14961016,2025-01-19,2025-01-19,,"I'm Still Here","Ainda Estou Aqui",https://www.imdb.com/title/tt14961016/,Movie,8.1,137,2024,"Biography, Drama, History",143591,2025-02-07,"Walter Salles",,
63,tt10954984,2025-01-28,2025-01-28,,"Nope","Nope",https://www.imdb.com/title/tt10954984/,Movie,6.8,130,2022,"Horror, Mystery, Sci-Fi, Thriller",311522,2022-07-22,"Jordan Peele",,
64,tt20221436,2025-01-28,2025-01-28,,"Emilia Pérez","Emilia Pérez",https://www.imdb.com/title/tt20221436/,Movie,5.3,132,2024,"Crime, Drama, Musical, Thriller",111938,2024-11-13,"Jacques Audiard",,
65,tt0120769,2025-01-31,2025-01-31,,"The Newton Boys","The Newton Boys",https://www.imdb.com/title/tt0120769/,Movie,6.1,122,1998,"Action, Crime, Drama, History, Western",13130,1998-03-27,"Richard Linklater",,
66,tt8178634,2025-01-31,2025-01-31,,"RRR","RRR (Rise Roar Revolt)",https://www.imdb.com/title/tt8178634/,Movie,7.8,187,2022,"Action, Adventure, Drama",201083,2022-03-25,"S.S. Rajamouli",,
67,tt5040012,2025-01-31,2025-01-31,,"Nosferatu","Nosferatu",https://www.imdb.com/title/tt5040012/,Movie,7.1,132,2024,"Fantasy, Horror, Mystery",257819,2024-12-25,"Robert Eggers",,
68,tt21823606,2025-01-31,2025-01-31,,"A Real Pain","A Real Pain",https://www.imdb.com/title/tt21823606/,Movie,7.0,90,2024,"Comedy, Drama",137480,2024-11-15,"Jesse Eisenberg",,
69,tt27403986,2025-02-07,2025-02-07,,"Juror #2","Juror #2",https://www.imdb.com/title/tt27403986/,Movie,7.0,114,2024,"Crime, Drama, Mystery, Thriller",121662,2024-12-20,"Clint Eastwood",,
70,tt7737800,2025-02-07,2025-02-07,,"Woman of the Hour","Woman of the Hour",https://www.imdb.com/title/tt7737800/,Movie,6.6,95,2023,"Crime, Drama, Mystery",72208,2024-10-18,"Anna Kendrick",,
71,tt22408160,2025-02-07,2025-02-07,,"Kinds of Kindness","Kinds of Kindness",https://www.imdb.com/title/tt22408160/,Movie,6.4,164,2024,"Comedy, Drama, Horror",69162,2024-07-05,"Yorgos Lanthimos",,
72,tt0254686,2025-02-27,2025-02-27,,"The Piano Teacher","La pianiste",https://www.imdb.com/title/tt0254686/,Movie,7.5,131,2001,"Drama, Music, Romance",79331,2001-08-31,"Michael Haneke",,
73,tt30788842,2025-02-27,2025-02-27,,"Love Hurts","Love Hurts",https://www.imdb.com/title/tt30788842/,Movie,5.3,83,2025,"Action, Comedy, Romance",17437,2025-02-07,"Jonathan Eusebio",,
74,tt12818328,2025-02-27,2025-02-27,,"Hundreds of Beavers","Hundreds of Beavers",https://www.imdb.com/title/tt12818328/,Movie,7.6,108,2022,"Action, Adventure, Comedy",15875,2024-04-15,"Mike Cheslik",,
75,tt10633456,2025-02-27,2025-02-27,,"Minari","Minari",https://www.imdb.com/title/tt10633456/,Movie,7.4,115,2020,"Drama",123888,2021-02-12,"Lee Isaac Chung",,
76,tt2937696,2025-02-27,2025-02-27,,"Everybody Wants Some!!","Everybody Wants Some!!",https://www.imdb.com/title/tt2937696/,Movie,6.9,117,2016,"Comedy",63745,2016-04-07,"Richard Linklater",,
77,tt0299658,2025-02-27,2025-02-27,,"Chicago","Chicago",https://www.imdb.com/title/tt0299658/,Movie,7.2,113,2002,"Comedy, Crime, Musical",254989,2003-01-24,"Rob Marshall",,
78,tt0120789,2025-02-27,2025-02-27,,"Pleasantville","Pleasantville",https://www.imdb.com/title/tt0120789/,Movie,7.5,124,1998,"Comedy, Drama, Fantasy",142471,1998-10-23,"Gary Ross",,
79,tt4772188,2025-02-27,2025-02-27,,"Flow","Straume",https://www.imdb.com/title/tt4772188/,Movie,7.9,85,2024,"Animation, Adventure, Family, Fantasy",121634,2025-02-14,"Gints Zilbalodis",,
80,tt0147800,2025-03-23,2025-03-23,,"10 Things I Hate About You","10 Things I Hate About You",https://www.imdb.com/title/tt0147800/,Movie,7.4,97,1999,"Comedy, Drama, Romance",441672,1999-03-31,"Gil Junger",,
81,tt0093870,2025-04-13,2025-04-13,,"RoboCop","RoboCop",https://www.imdb.com/title/tt0093870/,Movie,7.6,102,1987,"Action, Crime, Sci-Fi, Thriller",305481,1987-07-17,"Paul Verhoeven",,
82,tt1527186,2025-04-19,2025-04-19,,"Melancholia","Melancholia",https://www.imdb.com/title/tt1527186/,Movie,7.1,135,2011,"Drama, Sci-Fi",206694,2011-05-26,"Lars von Trier",,
83,tt1128075,2025-04-22,2025-04-22,,"Love Exposure","Ai no mukidashi",https://www.imdb.com/title/tt1128075/,Movie,8.0,237,2008,"Action, Comedy, Drama, Romance, Thriller",17671,2009-01-31,"Sion Sono",,
84,tt10208194,2025-06-29,2025-06-29,,"Family Romance, LLC","Family Romance, LLC",https://www.imdb.com/title/tt10208194/,Movie,6.7,89,2019,"Drama",3301,2020-07-03,"Werner Herzog",,
85,tt26581740,2025-09-24,2025-09-24,,"Weapons","Weapons",https://www.imdb.com/title/tt26581740/,Movie,7.4,128,2025,"Horror, Mystery",299616,2025-08-08,"Zach Cregger",,
86,tt0033467,2025-10-10,2025-10-10,,"Citizen Kane","Citizen Kane",https://www.imdb.com/title/tt0033467/,Movie,8.2,119,1941,"Drama, Mystery",490892,1941-09-05,"Orson Welles",,
87,tt12300742,2025-11-15,2025-11-15,,"Bugonia","Bugonia",https://www.imdb.com/title/tt12300742/,Movie,7.4,118,2025,"Comedy, Crime, Sci-Fi, Thriller",123676,2025-10-31,"Yorgos Lanthimos",,
88,tt27543578,2025-11-15,2025-11-15,,"Good Fortune","Good Fortune",https://www.imdb.com/title/tt27543578/,Movie,6.5,97,2025,"Comedy, Fantasy, Romance",32057,2025-10-17,"Aziz Ansari",,
89,tt1489887,2025-11-30,2025-11-30,,"Booksmart","Booksmart",https://www.imdb.com/title/tt1489887/,Movie,7.1,102,2019,"Comedy",139190,2019-05-24,"Olivia Wilde",,
90,tt5613484,2025-12-06,2025-12-06,,"Mid90s","Mid90s",https://www.imdb.com/title/tt5613484/,Movie,7.4,85,2018,"Comedy, Drama",86780,2018-10-26,"Jonah Hill",,
91,tt24950660,2025-12-26,2025-12-26,,"Eternity","Eternity",https://www.imdb.com/title/tt24950660/,Movie,7.0,114,2025,"Comedy, Drama, Fantasy, Romance",34799,2025-11-26,"David Freyne",,
92,tt8949056,2025-12-29,2025-12-29,,"Yes, God, Yes","Yes, God, Yes",https://www.imdb.com/title/tt8949056/,Movie,6.1,78,2019,"Comedy, Drama",20040,2020-07-28,"Karen Maine",,
93,tt0091419,2026-01-06,2026-01-06,,"Little Shop of Horrors","Little Shop of Horrors",https://www.imdb.com/title/tt0091419/,Movie,7.1,94,1986,"Comedy, Horror, Musical, Romance",93719,1986-12-19,"Frank Oz",,
